userid,ParticipantType,School,RHMSPrep,RHMSPost,RHMSChange,AOTPrep,AOTPost,AOTChange,beliefR,beliefJ,beliefE,DemographicsEducationType,DemographicsGender,DemographicsGrade,DemographicsIdentity,DemographicsPolitics,DemographicsReligous
AL111479,1,AL,#VALUE!,0,#VALUE!,0,0,0,,,,,,,,,
AL111552,1,AL,3.75,2.875,-0.875,2.846153846,2.153846154,-0.692307692,FRealisticNeg,NotTraitor,Oppose,GJ,M,11,J,R,S
AL11162,1,AL,5.375,4.625,-0.75,2.769230769,2.076923077,-0.692307692,FRealisticNeg,,Oppose,GJ,O,11,DK,DK,S
AL112330,1,AL,4.25,#VALUE!,#VALUE!,4.230769231,3.230769231,-1,CRealisticPro,Traitor,NoOpinion,GJ,F,11,J,R,S
AL115129,1,AL,4.625,#VALUE!,#VALUE!,2.923076923,3.230769231,0.307692308,DExtremistNeg,,,GJ,F,11,J,DK,S
AL115245,1,AL,4.75,3.875,-0.875,3.615384615,2.307692308,-1.307692308,FRealisticNeg,CantJudge,,GJ,,11,J,R,S
AL115709,1,AL,3.875,3.75,-0.125,3.846153846,3,-0.846153846,FRealisticNeg,CantJudge,Justify,GJ,M,11,J,R,M
AL119967,1,AL,#VALUE!,4.375,#VALUE!,4.846153846,3.230769231,-1.615384615,FRealisticNeg,CantJudge,,GJ,M,11,C,L,S
AL122986,2,AL,3.875,4.25,0.375,3.692307692,2.538461538,-1.153846154,FRealisticNeg,CantJudge,Balanced,GJ,F,11,J,R,M
AL125076,2,AL,4.625,4.25,-0.375,3.923076923,2.769230769,-1.153846154,FRealisticNeg,NotTraitor,Oppose,GJ,M,11,J,R,S
AL125209,2,AL,5.625,4.375,-1.25,4.461538462,3.307692308,-1.153846154,CRealisticPro,CantJudge,NoOpinion,GJ,M,11,J,VR,M
AL127150,2,AL,4.875,4.75,-0.125,4.076923077,3.384615385,-0.692307692,FRealisticNeg,NotTraitor,NoOpinion,GJ,M,11,J,L,S
AL127472,2,AL,#VALUE!,2.625,#VALUE!,4.230769231,3,-1.230769231,FRealisticNeg,NotTraitor,Balanced,GJ,M,11,J,C,S
AL128344,2,AL,5.125,#VALUE!,#VALUE!,3.230769231,3.230769231,0,FRealisticNeg,Traitor,NoOpinion,GJ,M,11,J,DK,S
AL128705,2,AL,5.375,#VALUE!,#VALUE!,3.461538462,3.230769231,-0.230769231,FRealisticNeg,,,GJ,M,11,,R,S
AL12964,2,AL,5.125,#VALUE!,#VALUE!,4.230769231,3.230769231,-1,CRealisticPro,,NoOpinion,GJ,F,11,J,R,M
AL134098,3,AL,5.375,5.375,0,2.923076923,2.692307692,-0.230769231,FRealisticNeg,Traitor,Balanced,GJ,M,11,J,R,M
AL135843,3,AL,6,5,-1,4.538461538,3.230769231,-1.307692308,FRealisticNeg,NotTraitor,NoOpinion,GJ,M,11,J,R,S
AL135850,3,AL,4.75,#VALUE!,#VALUE!,4.461538462,3.230769231,-1.230769231,FRealisticNeg,NotTraitor,Oppose,GJ,M,11,J,DK,S
AL136592,3,AL,3.625,5.625,2,4.230769231,3.076923077,-1.153846154,DExtremistNeg,Traitor,Oppose,GJ,F,11,J,L,S
AL13805,3,AL,5.25,4.875,-0.375,3.769230769,1.461538462,-2.307692308,CRealisticPro,CantJudge,NoOpinion,GJ,M,11,J,R,S
AL138476,3,AL,4.875,3.5,-1.375,3.384615385,2.230769231,-1.153846154,FRealisticNeg,Traitor,,GJ,F,11,J,C,S
AL138958,3,AL,3.875,3.625,-0.25,4.384615385,2.846153846,-1.538461538,CRealisticPro,NotTraitor,NoOpinion,GJ,M,11,J,DK,S
AL141426,4,AL,5.5,#VALUE!,#VALUE!,3.692307692,3.230769231,-0.461538462,FRealisticNeg,,Balanced,,,,,,
AL141761,4,AL,4.25,#VALUE!,#VALUE!,3.538461538,3.230769231,-0.307692308,ANatPridePro,Traitor,,GJ,M,11,J,R,S
AL142046,4,AL,4.875,4.625,-0.25,4.538461538,2.846153846,-1.692307692,FRealisticNeg,NotTraitor,Balanced,GJ,F,11,J,R,S
AL142721,4,AL,5.25,#VALUE!,#VALUE!,4,3.230769231,-0.769230769,FRealisticNeg,Traitor,Balanced,GJ,F,11,J,R,S
AL143951,4,AL,4.875,4.875,0,4.307692308,3.076923077,-1.230769231,ANatPridePro,CantJudge,Oppose,GJ,F,11,J,L,S
AL146531,4,AL,4.625,5,0.375,3.307692308,3.153846154,-0.153846154,CRealisticPro,CantJudge,,GJ,,11,DK,R,S
AL146802,4,AL,4.5,4.125,-0.375,4,3.923076923,-0.076923077,ANatPridePro,CantJudge,NoOpinion,GJ,M,11,J,C,S
AL212652,1,AL,4.75,#VALUE!,#VALUE!,3.230769231,3.230769231,0,CRealisticPro,Traitor,Oppose,GJ,,11,J,C,S
AL214462,1,AL,4,4.25,0.25,4.692307692,2.307692308,-2.384615385,FRealisticNeg,NotTraitor,Oppose,GJ,M,11,J,R,S
AL215239,1,AL,4.75,#VALUE!,#VALUE!,3.384615385,3.230769231,-0.153846154,DExtremistNeg,NotTraitor,Oppose,,,,,,
AL215426,1,AL,5.375,#VALUE!,#VALUE!,3.769230769,3.230769231,-0.538461538,FRealisticNeg,NotTraitor,Balanced,GJ,M,11,J,R,S
AL216171,1,AL,3.75,#VALUE!,#VALUE!,3.615384615,3.230769231,-0.384615385,FRealisticNeg,Traitor,Oppose,GJ,F,11,J,R,M
AL218049,1,AL,3.875,3.25,-0.625,3.923076923,3,-0.923076923,CRealisticPro,CantJudge,Balanced,GJ,F,11,J,DK,S
AL218705,1,AL,4.875,#VALUE!,#VALUE!,3.461538462,3.230769231,-0.230769231,FRealisticNeg,Traitor,NoOpinion,GJ,M,11,J,R,S
